Title,Body_Length,Comments,Created_At,Closed_At,Fixing_Duration_Days
Signal forms - radio does not reflect form model signal initial state if value attribute is enum,2822,3,2026-01-08T13:37:04Z,2026-01-12T21:49:21Z,4.341863425925926
Template pipeline leaves behind unnecessary restore/reset view calls in the presence of `@let`,1731,2,2025-12-31T08:04:11Z,2026-01-20T18:22:57Z,20.429699074074072
Severe performance issues,14423,14,2025-09-10T20:16:48Z,2025-11-21T18:28:10Z,71.92456018518519
signal-forms: FormValueControl is unable to mark field as dirty,2066,3,2025-09-06T08:14:16Z,2025-10-17T16:02:21Z,41.32505787037037
Escape `APP_ID` for `ViewEncapsulation.Emulated`,1796,4,2025-08-19T20:17:32Z,2025-09-19T21:50:37Z,31.064641203703705
Angular Language Service keeps crashing when using `host` and generic with host type-checking,4561,7,2025-08-07T18:17:37Z,2025-08-08T15:42:29Z,0.8922685185185185
Tooltip hints for template variables do not match compiler type when narrowed by template syntax,4617,2,2025-07-09T21:29:18Z,2026-04-01T19:22:09Z,265.9117013888889
Hydration - Cannot read nextSibling of null,1728,7,2025-06-18T10:57:51Z,2025-06-23T16:11:04Z,5.2175115740740745
@angular/elements custom element property getter returns a function for signal inputs,1222,1,2025-06-17T11:05:02Z,2025-10-01T17:52:37Z,106.28304398148148
Angular DevTools crashes when clicking into some components,1150,2,2025-06-05T14:39:00Z,2025-06-19T08:15:42Z,13.733819444444444
Template with signal not updating when the value of the signal changes,7235,3,2025-05-23T21:05:57Z,2025-06-05T12:49:06Z,12.654965277777778
AoT testing fails with ViewContainerRef.createComponent and overrideComponent,3837,4,2025-05-09T10:51:08Z,2025-09-24T07:42:57Z,137.86931712962962
Optional injection does not handle missing aliased (useExisting) ProviderToken,2658,1,2025-05-05T12:01:11Z,2025-05-06T16:12:41Z,1.1746527777777778
fix(devtools): catch firefox non-top level frame error case when using utilities APIs,576,2,2025-03-18T03:19:43Z,2025-03-31T17:09:59Z,13.576574074074074
Output emitters are not properly supported in hybrid AngularJS application,2525,1,2025-03-13T10:10:43Z,2025-03-13T16:37:01Z,0.2682638888888889
fix(devtools): handle case where router tree does not exist,278,2,2025-03-05T16:44:59Z,2025-03-05T20:05:05Z,0.13895833333333332
"SSG: when hydrating Angular renders contradicting state in @if-else, @switch, [ngSwitch], *ngTemplateOutlet",3493,5,2025-03-05T11:24:43Z,2025-03-21T21:45:29Z,16.431087962962962
bug(devtools): undefined `index` thrown in console once devtools have been opened,2134,5,2025-03-04T01:30:14Z,2025-03-09T22:22:49Z,5.869849537037037
this.scheduler.notify is not a function,740,5,2025-02-24T11:20:53Z,2025-02-27T11:29:37Z,3.006064814814815
statement in `@if` behind `as` not marked as error by compiler,583,3,2025-02-13T15:31:53Z,2025-03-27T20:25:03Z,42.20358796296296
Can not build Angular libraries with multiple defer blocks,1576,2,2025-02-12T09:28:45Z,2025-02-12T17:16:00Z,0.32447916666666665
Race condition in `resource()`,870,1,2025-02-03T17:19:28Z,2025-02-05T23:01:06Z,2.2372453703703705
The above dynamic import cannot be analyzed by Vite.,2898,2,2025-01-28T19:05:42Z,2025-01-28T19:27:52Z,0.015393518518518518
"Certain `@let` values can mimic internal data structure, breaking basic runtime logic",1664,15,2025-01-13T16:40:46Z,2025-10-27T16:32:04Z,286.99395833333335
`EffectRef.destroy` has no impact,2146,1,2025-01-07T16:38:34Z,2025-01-08T16:40:48Z,1.0015509259259259
No lint warnings for signals used within  control flow.,2544,6,2025-01-07T10:42:04Z,2025-08-31T11:53:21Z,236.04950231481482
Calling resource.set(value) does not abort in-progress loaders if the given value is equal to the value before the resource was reloaded,3805,3,2024-12-20T23:54:12Z,2025-01-29T16:40:15Z,39.69864583333333
Circular dependency in DI detected for ChangeDetectionScheduler in 19.0.4,1114,2,2024-12-20T00:48:59Z,2024-12-20T23:36:49Z,0.9498842592592592
Inputs on Component decorator do not support signal signals.,2708,5,2024-12-17T07:04:38Z,2025-04-24T17:26:13Z,128.4316550925926
"withComponentInputBinding() includes url parameter ""?parm=example""",1921,3,2024-12-10T15:41:26Z,2024-12-10T16:21:36Z,0.02789351851851852
"Could not resolve ""@angular/animations/browser""",1502,6,2024-12-04T17:01:38Z,2024-12-04T19:24:38Z,0.09930555555555555
The `provideAnimations()` return type is `Provider` instead of `EnvironmentProviders`,1847,2,2024-12-04T15:25:07Z,2025-07-10T22:01:15Z,218.27509259259259
NG02801 raised during unit tests even if withFetch() is provided,977,1,2024-12-03T16:35:49Z,2024-12-06T00:13:00Z,2.317488425925926
resource loader param `request` fails to exclude `undefined` from `request` returned value,2261,5,2024-11-25T11:46:29Z,2025-04-23T19:34:53Z,149.32527777777779
Angular 19 cannot build - Cannot read properties of undefined (reading 'kind'),6011,4,2024-11-25T11:46:03Z,2024-12-06T00:14:05Z,10.519467592592592
Output migration transforms eventEmitter.emit() into invalid output.emit(),1962,4,2024-11-14T09:40:25Z,2025-04-08T23:10:08Z,145.56230324074073
Signal output migration wrongly updates subject.next in templates,1532,2,2024-11-13T15:47:00Z,2024-11-15T13:13:56Z,1.8937037037037037
@for with dublicate entries and filter pipe kills browser,1474,11,2024-11-05T07:49:03Z,2024-11-06T12:02:41Z,1.1761342592592592
Change detection doesn't fire in host directives on custom elements,958,4,2024-10-24T16:16:54Z,2024-10-30T11:46:01Z,5.811886574074074
Using a track function directly in the new @for loop is not supported nor compiled,1672,5,2024-10-18T15:44:09Z,2025-04-15T12:23:59Z,178.86099537037038
Stack overflow in Angular Compiler if an NgModule imports itself,16244,2,2024-10-16T14:39:47Z,2024-10-18T09:26:48Z,1.782650462962963
`@defer (on interaction(element))` doesn't trigger when inside ng-template,1045,5,2024-10-11T10:57:29Z,2024-11-07T15:12:39Z,27.177199074074075
ng-content doesn't project deferrable views,843,4,2024-10-07T20:36:00Z,2025-10-17T20:22:37Z,374.9907060185185
Dynamically-created component not removed when zoneless is combined with animations,2231,2,2024-10-03T07:44:09Z,2025-04-09T18:12:57Z,188.43666666666667
"Initializer APIs (input, output, queries) not integrating with `TestBed.override` in a jit & aot mix",1107,7,2024-09-24T10:29:26Z,2025-09-18T21:30:24Z,359.45900462962965
Runtime warning NG0913 triggered for 300 kB svg file,1685,1,2024-09-24T07:48:16Z,2024-09-30T20:28:50Z,6.528171296296296
"Angular effect throws ""Unsubscription error"" when signal is set in finalize operator",2739,5,2024-09-10T16:19:08Z,2025-03-27T03:35:48Z,197.46990740740742
Allow late instrumentation of `globalThis.fetch`,2178,4,2024-08-26T16:21:52Z,2024-09-03T16:10:27Z,7.992071759259259
fix(devtools): correctly set environment injector path in the case where there are no element injectors,445,2,2024-08-18T19:40:23Z,2024-08-28T15:49:37Z,9.83974537037037
TS-996002 makes finding errors difficult,3537,5,2024-08-12T08:23:49Z,2025-07-10T22:18:04Z,332.57934027777776
zone based apps + new scheduler: signal changes in another zone not triggering CD,2336,6,2024-08-05T13:22:56Z,2024-08-08T17:46:30Z,3.1830324074074072
[vite] Internal server error: ASSERTION ERROR: Expected [Text|Element|Container|ElementContainer|Projection|IcuContainer] but got LetDeclaration.,3661,2,2024-07-27T16:15:08Z,2024-07-30T16:43:50Z,3.0199305555555553
Skipping hydration on i18n nodes breaks hydration,3020,5,2024-07-24T07:21:25Z,2024-08-09T15:07:53Z,16.323935185185185
Extended diagnostics do not run on structural directive attributes,900,2,2024-07-23T08:57:11Z,2025-10-14T18:58:20Z,448.41746527777775
Broken hydration after v17 -> v18 migration if i18n blocks are used,1834,5,2024-07-15T14:35:42Z,2024-08-09T15:07:17Z,25.02193287037037
Template of fixture is not updated using signals (in test),4549,3,2024-07-05T07:53:10Z,2024-09-19T21:18:02Z,76.55893518518519
Routed components get services from the wrong injector,2228,2,2024-06-30T08:07:51Z,2024-07-02T17:10:57Z,2.377152777777778
@let Bug -- should give precedence to a local let declaration over one from a parent view,2134,1,2024-06-27T12:28:30Z,2024-07-01T14:04:00Z,4.066319444444445
Unexpected behavior when querying for TempplateRef,1417,6,2024-06-26T14:22:19Z,2024-07-11T09:42:55Z,14.805972222222222
Angular devtools fails to display component information when it injects a number value,2249,1,2024-06-25T21:07:54Z,2025-08-29T12:41:12Z,429.648125
signals (or function calls in the templates) in language service,2524,5,2024-06-17T11:13:41Z,2024-10-04T23:09:31Z,109.49710648148148
